cas_number,agent,iarc_group,year
1338-16-5,Iron sorbitol-citric acid complex,3,1987
1345-04-6,Antimony trisulfide,3,1989
1401-55-4,Tannic acid and tannins,3,1987
1402-68-2,"Aflatoxins (B1, B2, G1, G2, M1)",1,2012
1582-09-8,Trifluralin,3,1991
1615-80-1,"1,2-Diethylhydrazine",2B,1999
1634-04-4,Methyl tert-butyl ether,3,1999
1675-54-3,Bisphenol A diglycidyl ether (Araldite),3,1999
1689-82-3,4-Hydroxyazobenzene,3,1987
1694-09-3,Benzyl violet 4B,2B,1987
1705-85-7,6-Methylchrysene,3,2010
1706-01-0,3-Methylfluoranthene,3,2010
1746-01-6,"2,3,7,8-Tetrachlorodibenzo-para-dioxin",1,2012
1836-75-5,Nitrofen (technical-grade),2B,1987
1897-45-6,Chlorothalonil,2B,1999
1912-24-9,Atrazine,3,1999
1918-02-1,Picloram,3,1991
1936-15-8,CI Orange G,3,1987
1954-28-5,Triethylene glycol diglycidyl ether,3,1999
2068-78-2,Vincristine sulfate,3,1987
2164-17-2,Fluometuron,3,1987
2168-68-5,Bis(1-aziridinyl)morpholinophosphine sulfide,3,1987
2243-62-1,"1,5-Naphthalenediamine",3,1987
2303-16-4,Diallate,3,1987
2318-18-5,Senkirkine,3,1987
2353-45-9,Fast Green FCF,3,1987
2385-85-5,Mirex,2B,1987
2386-90-5,"Bis(2,3-epoxycyclopentyl)ether",3,1999
2425-06-1,Captafol,2A,1991
2425-85-6,CI Pigment Red,3,1993
2429-74-5,CI Direct Blue 15,2B,1993
2432-99-7,11-Aminoundecanoic acid,3,1987
2475-45-8,Disperse Blue,1,1990
2646-17-5,Oil Orange SS,2B,1987
2757-90-6,Agaritine,3,1987
2783-94-0,Sunset Yellow FCF,3,1987
2784-94-3,HC Blue No.,1,1993
2832-40-8,Disperse Yellow,3,1990
2835-39-4,Allyl isovalerate,3,1999
2871-01-4,HC Red No.,3,1993
2955-38-6,Prazepam,3,1996
2973-10-6,Diisopropyl sulfate,2B,1999
3018-12-0,Dichloroacetonitrile,3,1999
3068-88-0,beta-Butyrolactone,2B,1999
3118-97-6,Sudan II,3,1987
3173-72-6,"1,5-Naphthalene diisocyanate",3,1999
3252-43-5,Dibromoacetonitrile,2B,2013
3296-90-0,"2,2-Bis(bromomethyl)propane-1,3-diol",2B,2000
3351-28-8,1-Methylchrysene,3,2010
3351-30-2,4-Methylchrysene,3,2010
3351-31-3,3-Methylchrysene,3,2010
3351-32-4,2-Methylchrysene,3,2010
3564-09-8,Ponceau 3R,2B,1987
3567-69-9,Carmoisine,3,1987
3570-75-0,2-(2-Formylhydrazino)-4-(5-nitro-2-furyl)thiazole,2B,1987
